volume,glochidia ,loggloch
0.7,4,0.698970004
0.5,13,1.146128036
0.8,4,0.698970004
1.2,34,1.544068044
1.8,800,2.903632516
1.5,248,2.396199347
1.8,165,2.220108088
2,214,2.33243846
2,608,2.784617293
0.5,6,0.84509804
0.1,1,0.301029996
0.8,0,0
0.1,1,0.301029996
0.2,0,0
0.3,30,1.491361694
1.3,5,0.77815125
2.2,180,2.257678575
0.8,2,0.477121255
0.5,142,2.155336037
0.7,8,0.954242509
1.4,8,0.954242509
2.1,348,2.542825427
1.2,92,1.968482949
2,117,2.071882007
2.2,418,2.622214023
1.2,785,2.895422546
2.1,620,2.7930916
2,94,1.977723605
1.7,1,0.301029996
1.1,101,2.008600172
1.3,2,0.477121255
0.4,35,1.556302501
2.2,197,2.29666519
1.5,2,0.477121255
1.8,32,1.51851394
0.6,1,0.301029996
2.8,102,2.012837225
2.5,102,2.012837225
1.4,3,0.602059991
1.3,433,2.63748973
0.9,433,2.63748973
0.3,202,2.307496038
0.3,0,0
1.4,0,0
3,300,2.478566496
2.7,360,2.557507202
2.3,803,2.905256049
2.5,560,2.748962861
2.8,615,2.789580712
3.1,680,2.833147112
2.8,562,2.750508395
2.9,664,2.822821645
2.2,1127,3.0523091
2.6,512,2.710117365
3.1,385,2.586587305
2.6,679,2.832508913
3.3,1380,3.140193679
2.4,7,0.903089987
2.7,4,0.698970004
0.8,7,0.903089987
1,13,1.146128036
0.8,0,0
1.1,0,0
0.8,0,0
1,0,0
1,5,0.77815125
0.1,0,0
0.7,0,0
0.6,0,0
